2026-07-16 14:39:49.867 [main] INFO  c.e.permmenu.PermMenuApplication - Starting PermMenuApplication using Java 17.0.12 on fydeMacBook-Air.local with PID 48282 (/Users/ericyang/.gemini/antigravity/scratch/perm-menu-manager/backend/target/classes started by ericyang in /Users/ericyang/.gemini/antigravity/scratch/perm-menu-manager/backend)
2026-07-16 14:39:49.868 [main] INFO  c.e.permmenu.PermMenuApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-16 14:39:50.281 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-07-16 14:39:50.284 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-07-16 14:39:50.284 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-07-16 14:39:50.284 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2026-07-16 14:39:50.314 [main] INFO  o.a.c.c.C.[.[.[/perm-menu-manager/api] - Initializing Spring embedded WebApplicationContext
2026-07-16 14:39:50.314 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 429 ms
2026-07-16 14:39:50.360 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2026-07-16 14:39:50.426 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2026-07-16 14:39:50.430 [main] INFO  com.zaxxer.hikari.HikariDataSource - second - Starting...
2026-07-16 14:39:50.434 [main] INFO  com.zaxxer.hikari.HikariDataSource - second - Start completed.
2026-07-16 14:39:50.434 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2026-07-16 14:39:50.434 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [second] success
2026-07-16 14:39:50.434 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2026-07-16 14:39:50.494 [main] WARN  c.b.m.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.example.permmenu.entity.ComDict".
